2026.01.23 11:01:15 INFO  no build target found for /Users/yeqingwen/iplasFile/workspace/dapeng-soa/dapeng-client-netty/src/main/java/com/github/dapeng/client/netty/SoaConnectionImpl.java. Using fallback presentation compiler.
2026.01.23 11:01:22 INFO  no build target found for /Users/yeqingwen/iplasFile/workspace/dapeng-soa/dapeng-client-netty/src/main/java/com/github/dapeng/client/netty/SoaConnectionImpl.java. Using fallback presentation compiler.
2026.01.23 11:01:22 WARN  no build target for: /Users/yeqingwen/iplasFile/workspace/wework-service/src/main/scala/com/isuwang/soa/wework/util/OfferChatRoomMsgUtil.scala
2026.01.23 11:01:22 INFO  no build target found for /Users/yeqingwen/iplasFile/workspace/wework-service/src/main/scala/com/isuwang/soa/wework/util/OfferChatRoomMsgUtil.scala. Using presentation compiler with project's scala-library version: 3.3.6
2026.01.23 11:01:23 INFO  no build target found for /Users/yeqingwen/iplasFile/workspace/wework-service/src/main/scala/com/isuwang/soa/wework/util/OfferChatRoomMsgUtil.scala. Using presentation compiler with project's scala-library version: 3.3.6
2026.01.23 11:01:30 INFO  no build target found for /Users/yeqingwen/iplasFile/workspace/wework-service/src/main/scala/com/isuwang/soa/wework/util/OfferChatRoomMsgUtil.scala. Using presentation compiler with project's scala-library version: 3.3.6
2026.01.23 11:01:31 WARN  no build target for: /Users/yeqingwen/iplasFile/workspace/dapeng-soa/dapeng-client-netty/src/main/java/com/github/dapeng/client/netty/NettyClient.java
2026.01.23 11:01:31 INFO  no build target found for /Users/yeqingwen/iplasFile/workspace/dapeng-soa/dapeng-client-netty/src/main/java/com/github/dapeng/client/netty/NettyClient.java. Using fallback presentation compiler.
2026.01.23 11:01:37 INFO  no build target found for /Users/yeqingwen/iplasFile/workspace/dapeng-soa/dapeng-client-netty/src/main/java/com/github/dapeng/client/netty/NettyClient.java. Using fallback presentation compiler.
2026.01.23 11:01:37 INFO  no build target found for /Users/yeqingwen/iplasFile/workspace/dapeng-soa/dapeng-client-netty/src/main/java/com/github/dapeng/client/netty/NettyClient.java. Using fallback presentation compiler.
2026.01.23 11:01:37 INFO  no build target found for /Users/yeqingwen/iplasFile/workspace/dapeng-soa/dapeng-client-netty/src/main/java/com/github/dapeng/client/netty/NettyClient.java. Using fallback presentation compiler.
2026.01.23 11:01:38 INFO  no build target found for /Users/yeqingwen/iplasFile/workspace/dapeng-soa/dapeng-client-netty/src/main/java/com/github/dapeng/client/netty/NettyClient.java. Using fallback presentation compiler.
2026.01.23 11:01:38 INFO  no build target found for /Users/yeqingwen/iplasFile/workspace/dapeng-soa/dapeng-client-netty/src/main/java/com/github/dapeng/client/netty/NettyClient.java. Using fallback presentation compiler.
2026.01.23 11:01:39 INFO  no build target found for /Users/yeqingwen/iplasFile/workspace/dapeng-soa/dapeng-client-netty/src/main/java/com/github/dapeng/client/netty/NettyClient.java. Using fallback presentation compiler.
2026.01.23 11:01:39 INFO  no build target found for /Users/yeqingwen/iplasFile/workspace/dapeng-soa/dapeng-client-netty/src/main/java/com/github/dapeng/client/netty/NettyClient.java. Using fallback presentation compiler.
